Variable,value
total_population,3262207.01631011
total_households,1175732.29966105
total_tours,4760938.85225398
total_trips,16741615.0679935
total_stops,4802528.16123887
total_vmt,48825633.0659408
total_population_for_rates,3259678.01631011
