District,purpose,value
1: Downtown,Work,63.25854893
2: Central,Work,76.09260859
3: North City,Work,73.58339775
4: South Suburban,Work,80.40095162
5: East Suburban,Work,66.43597623
6: North County West,Work,79.8620651
7: North County East,Work,72.63593271
8: East County,Work,59.54843521
Total,Work,74.841
