PERTYPE,active_persons,tours,tour_rate
1: Full-Time Worker,984743.3792,1845855.273,1.874453093
2: Part-Time Worker,186793.6416,313983.8346,1.680912861
3: University Student,130571.5178,252020.9782,1.930137464
4: Non-Worker,232623.969,471605.4313,2.027329485
5: Retiree,241830.2078,385076.0934,1.592340745
6: Driving Aged Student,69306.10371,49930.23196,0.720430515
7: Non-Driving Aged Student,336174.8328,357835.7725,1.064433555
8: Child To Young for School,111735.2979,101704.7194,0.910229098
Total,2293778.95,3778012.334,1.647069058
