period,purpose,freq_dep,freq_arr,skim_period
3.25,9: Work-based,0,0,1: EA
3.25,4: Escort,1513.970976,0,1: EA
3.25,6: Individual Discretionary,0,0,1: EA
3.25,5: Individual Maintenance,5013.637605,0,1: EA
3.25,8: Joint Discretionary,0,0,1: EA
3.25,7: Joint Maintenance,0,0,1: EA
3.25,3: School,0,0,1: EA
3.25,2: University,958.9047042,0,1: EA
3.25,1: Work,627.5691069,0,1: EA
3.75,9: Work-based,0,0,1: EA
3.75,4: Escort,1440.269953,0,1: EA
3.75,6: Individual Discretionary,1907.028816,71.39251727,1: EA
3.75,5: Individual Maintenance,2059.177475,27.28417918,1: EA
3.75,8: Joint Discretionary,0,0,1: EA
3.75,7: Joint Maintenance,0,0,1: EA
3.75,3: School,0,0,1: EA
3.75,2: University,0,0,1: EA
3.75,1: Work,9855.895362,0,1: EA
4.25,9: Work-based,0,0,1: EA
4.25,4: Escort,52.01531786,0,1: EA
4.25,6: Individual Discretionary,951.8880665,0,1: EA
4.25,5: Individual Maintenance,2717.312085,136.5138562,1: EA
4.25,8: Joint Discretionary,13.15967816,0,1: EA
4.25,7: Joint Maintenance,0,0,1: EA
4.25,3: School,90.75190979,0,1: EA
4.25,2: University,0,0,1: EA
4.25,1: Work,28327.73107,0,1: EA
4.75,9: Work-based,0,0,1: EA
4.75,4: Escort,672.1679668,0,1: EA
4.75,6: Individual Discretionary,2434.47466,144.9767381,1: EA
4.75,5: Individual Maintenance,7997.149762,273.0277123,1: EA
4.75,8: Joint Discretionary,24.34197217,13.15967816,1: EA
4.75,7: Joint Maintenance,90.55017275,0,1: EA
4.75,3: School,283.6380306,0,1: EA
4.75,2: University,0,0,1: EA
4.75,1: Work,2379.171263,0,1: EA
5.25,9: Work-based,7780.159557,0,1: EA
5.25,4: Escort,8789.295389,8629.4929,1: EA
5.25,6: Individual Discretionary,2979.387767,364.1630448,1: EA
5.25,5: Individual Maintenance,3401.913666,256.140599,1: EA
5.25,8: Joint Discretionary,38.17254403,0,1: EA
5.25,7: Joint Maintenance,5455.483454,0,1: EA
5.25,3: School,0,0,1: EA
5.25,2: University,5103.802024,0,1: EA
5.25,1: Work,17739.99925,0,1: EA
5.75,9: Work-based,0,0,1: EA
5.75,4: Escort,6711.358796,153.8865532,1: EA
5.75,6: Individual Discretionary,12683.05432,1254.379014,1: EA
5.75,5: Individual Maintenance,15368.95252,3162.484315,1: EA
5.75,8: Joint Discretionary,53.58133409,0,1: EA
5.75,7: Joint Maintenance,27.28417918,23.4153892,1: EA
5.75,3: School,2490.559883,0,1: EA
5.75,2: University,0,0,1: EA
5.75,1: Work,38706.75946,15.5385888,1: EA
6.25,9: Work-based,1526.240234,0,2: AM
6.25,4: Escort,4603.478162,43.75749928,2: AM
6.25,6: Individual Discretionary,7498.345304,7624.241355,2: AM
6.25,5: Individual Maintenance,22045.97445,498.0949941,2: AM
6.25,8: Joint Discretionary,128.4826322,61.12374756,2: AM
6.25,7: Joint Maintenance,141.4988652,27.28417918,2: AM
6.25,3: School,6273.787054,0,2: AM
6.25,2: University,4862.691601,0,2: AM
6.25,1: Work,83385.78588,274.9889543,2: AM
6.75,9: Work-based,83.03183624,46.25862097,2: AM
6.75,4: Escort,43350.35053,1208.842682,2: AM
6.75,6: Individual Discretionary,14542.27397,14432.56791,2: AM
6.75,5: Individual Maintenance,39436.259,6390.897182,2: AM
6.75,8: Joint Discretionary,1779.473263,66.70170943,2: AM
6.75,7: Joint Maintenance,19.64708754,0,2: AM
6.75,3: School,49005.37791,15.64397708,2: AM
6.75,2: University,213.3754594,0,2: AM
6.75,1: Work,73010.22993,163.5638813,2: AM
7.25,9: Work-based,364.9217895,109.2192985,2: AM
7.25,4: Escort,40389.64959,34857.08051,2: AM
7.25,6: Individual Discretionary,32033.11031,6114.763742,2: AM
7.25,5: Individual Maintenance,45425.54626,931.8151325,2: AM
7.25,8: Joint Discretionary,224.3791495,1945.385557,2: AM
7.25,7: Joint Maintenance,47.06144973,0,2: AM
7.25,3: School,85485.27496,45.45337742,2: AM
7.25,2: University,7191.988645,0,2: AM
7.25,1: Work,95498.8898,0,2: AM
7.75,9: Work-based,356.2734066,64.16156817,2: AM
7.75,4: Escort,52681.44262,28375.69289,2: AM
7.75,6: Individual Discretionary,21273.21772,27151.96871,2: AM
7.75,5: Individual Maintenance,42613.67451,5132.186912,2: AM
7.75,8: Joint Discretionary,337.6362353,144.6353346,2: AM
7.75,7: Joint Maintenance,147.1650745,130.6996353,2: AM
7.75,3: School,72809.4049,4983.323923,2: AM
7.75,2: University,7203.262846,0,2: AM
7.75,1: Work,122882.2572,11.42606774,2: AM
8.25,9: Work-based,438.0016748,8129.200666,2: AM
8.25,4: Escort,107204.7034,79291.81887,2: AM
8.25,6: Individual Discretionary,34197.94393,10852.44343,2: AM
8.25,5: Individual Maintenance,55838.32331,6944.251672,2: AM
8.25,8: Joint Discretionary,423.2235786,428.1193084,2: AM
8.25,7: Joint Maintenance,8957.3971,136.506007,2: AM
8.25,3: School,56117.60432,13345.63249,2: AM
