dist_bin,othmaint,othdiscr,shopping,escort,eatout,social,Total
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,1,1,0,0,0,0,2
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,1,0,0,0,0,0,1
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,1,0,0,0,0,1
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0
40,1,1,0,0,0,0,2
41,0,0,0,0,0,0,0
42,1,0,0,0,0,0,1
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,1,0,0,0,1,0,2
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,1,1,0,0,0,0,2
55,1,0,0,0,0,0,1
56,0,0,0,0,0,1,1
57,1,0,0,0,0,0,1
58,0,1,1,0,0,0,2
59,1,0,0,0,0,0,1
60,2,0,0,0,0,0,2
61,5,1,1,0,0,0,7
62,0,0,0,1,0,0,1
63,6,3,0,0,0,5,14
64,0,0,0,0,0,0,0
65,3,0,0,0,0,0,3
66,7,1,0,0,1,1,10
67,0,1,0,0,1,0,2
68,3,3,0,0,0,0,6
69,0,0,0,0,0,0,0
70,5,2,1,1,0,0,9
71,2,0,0,0,1,0,3
72,3,3,1,1,0,0,8
73,6,2,0,0,2,0,10
74,7,6,3,0,0,0,16
75,4,1,2,0,1,0,8
76,7,2,1,0,1,0,11
77,3,1,0,2,3,0,9
78,10,0,1,0,0,0,11
79,2,0,0,0,0,1,3
80,14,4,2,3,0,0,23
81,3,3,1,0,5,2,14
82,5,0,5,0,1,0,11
83,3,1,0,1,1,0,6
84,3,2,2,0,1,1,9
85,3,1,0,0,0,0,4
86,3,0,1,0,0,0,4
87,2,3,0,2,1,0,8
88,5,0,0,0,1,0,6
89,0,0,0,0,0,0,0
90,2,0,2,0,0,0,4
91,2,1,2,1,0,0,6
92,0,0,0,1,0,0,1
93,0,0,0,0,0,0,0
94,3,0,2,0,0,0,5
95,0,0,2,0,0,0,2
96,1,0,0,0,0,0,1
97,1,1,3,10,0,0,15
98,1,1,0,0,0,0,2
99,0,1,0,0,0,0,1
100,0,0,0,0,0,0,0
101,0,0,0,0,0,1,1
102,0,0,0,0,0,0,0
103,0,0,0,0,1,0,1
104,1,0,0,0,0,0,1
105,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0
107,0,1,1,0,1,0,3
108,2,0,0,0,0,0,2
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
