distbin,District,purpose,value
1,1: Downtown,Work,3155.0
1,2: Central,Work,18397.0
1,3: North City,Work,7213.0
1,4: South Suburban,Work,3369.0
1,5: East Suburban,Work,3994.0
1,6: North County West,Work,5247.0
1,7: North County East,Work,4807.0
1,8: East County,Work,126.0
2,1: Downtown,Work,1878.0
2,2: Central,Work,16042.0
2,3: North City,Work,14962.0
2,4: South Suburban,Work,7416.0
2,5: East Suburban,Work,8533.0
2,6: North County West,Work,7033.0
2,7: North County East,Work,10631.0
2,8: East County,Work,488.0
3,1: Downtown,Work,1259.0
3,2: Central,Work,16375.0
3,3: North City,Work,17636.0
3,4: South Suburban,Work,7968.0
3,5: East Suburban,Work,9301.0
3,6: North County West,Work,9036.0
3,7: North County East,Work,11958.0
3,8: East County,Work,284.0
4,1: Downtown,Work,1197.0
4,2: Central,Work,16267.0
4,3: North City,Work,20023.0
4,4: South Suburban,Work,7486.0
4,5: East Suburban,Work,8632.0
4,6: North County West,Work,12568.0
4,7: North County East,Work,10577.0
4,8: East County,Work,217.0
5,1: Downtown,Work,1086.0
5,2: Central,Work,15392.0
5,3: North City,Work,19229.0
5,4: South Suburban,Work,6427.0
5,5: East Suburban,Work,7622.0
5,6: North County West,Work,17177.0
5,7: North County East,Work,8960.0
5,8: East County,Work,205.0
6,1: Downtown,Work,935.0
6,2: Central,Work,15136.0
6,3: North City,Work,18843.0
6,4: South Suburban,Work,5594.0
6,5: East Suburban,Work,7005.0
6,6: North County West,Work,9832.0
6,7: North County East,Work,7713.0
6,8: East County,Work,150.0
7,1: Downtown,Work,952.0
7,2: Central,Work,18963.0
7,3: North City,Work,19906.0
7,4: South Suburban,Work,6311.0
7,5: East Suburban,Work,7371.0
7,6: North County West,Work,10121.0
7,7: North County East,Work,8348.0
7,8: East County,Work,177.0
8,1: Downtown,Work,757.0
8,2: Central,Work,18683.0
8,3: North City,Work,19137.0
8,4: South Suburban,Work,6336.0
8,5: East Suburban,Work,6568.0
8,6: North County West,Work,8440.0
8,7: North County East,Work,7612.0
8,8: East County,Work,42.0
9,1: Downtown,Work,821.0
9,2: Central,Work,17242.0
9,3: North City,Work,20684.0
9,4: South Suburban,Work,7022.0
9,5: East Suburban,Work,7539.0
9,6: North County West,Work,9542.0
9,7: North County East,Work,8014.0
9,8: East County,Work,169.0
10,1: Downtown,Work,1168.0
10,2: Central,Work,16164.0
10,3: North City,Work,21825.0
10,4: South Suburban,Work,7669.0
10,5: East Suburban,Work,8907.0
10,6: North County West,Work,11640.0
10,7: North County East,Work,7560.0
10,8: East County,Work,83.0
11,1: Downtown,Work,883.0
11,2: Central,Work,15143.0
11,3: North City,Work,20139.0
11,4: South Suburban,Work,7005.0
11,5: East Suburban,Work,8870.0
11,6: North County West,Work,7953.0
11,7: North County East,Work,6931.0
11,8: East County,Work,110.0
12,1: Downtown,Work,556.0
12,2: Central,Work,14337.0
12,3: North City,Work,18414.0
12,4: South Suburban,Work,6801.0
12,5: East Suburban,Work,9108.0
12,6: North County West,Work,7645.0
12,7: North County East,Work,6660.0
12,8: East County,Work,136.0
13,1: Downtown,Work,526.0
13,2: Central,Work,12787.0
13,3: North City,Work,17318.0
13,4: South Suburban,Work,6968.0
13,5: East Suburban,Work,9090.0
13,6: North County West,Work,6599.0
13,7: North County East,Work,5926.0
13,8: East County,Work,162.0
14,1: Downtown,Work,551.0
14,2: Central,Work,12158.0
14,3: North City,Work,15641.0
14,4: South Suburban,Work,7096.0
14,5: East Suburban,Work,9196.0
14,6: North County West,Work,6618.0
14,7: North County East,Work,5666.0
14,8: East County,Work,141.0
15,1: Downtown,Work,638.0
15,2: Central,Work,9585.0
15,3: North City,Work,14228.0
15,4: South Suburban,Work,7076.0
15,5: East Suburban,Work,9508.0
15,6: North County West,Work,5822.0
15,7: North County East,Work,5503.0
15,8: East County,Work,74.0
16,1: Downtown,Work,739.0
16,2: Central,Work,7631.0
16,3: North City,Work,12801.0
16,4: South Suburban,Work,7015.0
16,5: East Suburban,Work,9533.0
16,6: North County West,Work,5807.0
16,7: North County East,Work,4915.0
16,8: East County,Work,82.0
17,1: Downtown,Work,445.0
17,2: Central,Work,6856.0
17,3: North City,Work,12171.0
17,4: South Suburban,Work,6425.0
17,5: East Suburban,Work,9386.0
17,6: North County West,Work,4717.0
17,7: North County East,Work,4598.0
17,8: East County,Work,97.0
18,1: Downtown,Work,260.0
18,2: Central,Work,5751.0
18,3: North City,Work,11274.0
18,4: South Suburban,Work,6115.0
18,5: East Suburban,Work,9229.0
18,6: North County West,Work,4420.0
18,7: North County East,Work,4231.0
18,8: East County,Work,81.0
19,1: Downtown,Work,193.0
19,2: Central,Work,4654.0
19,3: North City,Work,10428.0
19,4: South Suburban,Work,5690.0
19,5: East Suburban,Work,8587.0
19,6: North County West,Work,4641.0
19,7: North County East,Work,4037.0
19,8: East County,Work,91.0
20,1: Downtown,Work,138.0
20,2: Central,Work,3963.0
20,3: North City,Work,8986.0
20,4: South Suburban,Work,5031.0
20,5: East Suburban,Work,7432.0
20,6: North County West,Work,3931.0
20,7: North County East,Work,3984.0
20,8: East County,Work,96.0
21,1: Downtown,Work,135.0
21,2: Central,Work,3180.0
21,3: North City,Work,7507.0
21,4: South Suburban,Work,4219.0
21,5: East Suburban,Work,6604.0
21,6: North County West,Work,3511.0
21,7: North County East,Work,3900.0
21,8: East County,Work,155.0
22,1: Downtown,Work,187.0
22,2: Central,Work,2448.0
22,3: North City,Work,6316.0
22,4: South Suburban,Work,3788.0
22,5: East Suburban,Work,6043.0
22,6: North County West,Work,3183.0
22,7: North County East,Work,3663.0
22,8: East County,Work,87.0
23,1: Downtown,Work,142.0
23,2: Central,Work,1869.0
23,3: North City,Work,5358.0
23,4: South Suburban,Work,3031.0
23,5: East Suburban,Work,5339.0
23,6: North County West,Work,3090.0
23,7: North County East,Work,3450.0
23,8: East County,Work,90.0
24,1: Downtown,Work,104.0
24,2: Central,Work,1584.0
24,3: North City,Work,4717.0
24,4: South Suburban,Work,2531.0
24,5: East Suburban,Work,4452.0
24,6: North County West,Work,3091.0
24,7: North County East,Work,3421.0
24,8: East County,Work,222.0
25,1: Downtown,Work,68.0
25,2: Central,Work,1378.0
25,3: North City,Work,4039.0
25,4: South Suburban,Work,2252.0
25,5: East Suburban,Work,3660.0
25,6: North County West,Work,2701.0
25,7: North County East,Work,3312.0
25,8: East County,Work,233.0
26,1: Downtown,Work,40.0
26,2: Central,Work,962.0
26,3: North City,Work,3448.0
26,4: South Suburban,Work,1922.0
26,5: East Suburban,Work,3054.0
26,6: North County West,Work,2503.0
26,7: North County East,Work,3296.0
26,8: East County,Work,175.0
27,1: Downtown,Work,39.0
27,2: Central,Work,796.0
27,3: North City,Work,2813.0
27,4: South Suburban,Work,1724.0
27,5: East Suburban,Work,2504.0
27,6: North County West,Work,2423.0
27,7: North County East,Work,2716.0
27,8: East County,Work,196.0
28,1: Downtown,Work,27.0
28,2: Central,Work,614.0
28,3: North City,Work,2348.0
28,4: South Suburban,Work,1510.0
28,5: East Suburban,Work,2087.0
28,6: North County West,Work,2131.0
28,7: North County East,Work,2527.0
28,8: East County,Work,195.0
29,1: Downtown,Work,21.0
29,2: Central,Work,561.0
29,3: North City,Work,1919.0
29,4: South Suburban,Work,1199.0
29,5: East Suburban,Work,1813.0
29,6: North County West,Work,2002.0
29,7: North County East,Work,2681.0
29,8: East County,Work,204.0
30,1: Downtown,Work,15.0
30,2: Central,Work,480.0
30,3: North City,Work,1528.0
30,4: South Suburban,Work,903.0
30,5: East Suburban,Work,1444.0
30,6: North County West,Work,1882.0
30,7: North County East,Work,2358.0
30,8: East County,Work,191.0
31,1: Downtown,Work,15.0
31,2: Central,Work,401.0
31,3: North City,Work,1253.0
31,4: South Suburban,Work,696.0
31,5: East Suburban,Work,1336.0
31,6: North County West,Work,1787.0
31,7: North County East,Work,2306.0
31,8: East County,Work,211.0
32,1: Downtown,Work,42.0
32,2: Central,Work,404.0
32,3: North City,Work,1059.0
32,4: South Suburban,Work,572.0
32,5: East Suburban,Work,1246.0
32,6: North County West,Work,1541.0
32,7: North County East,Work,2094.0
32,8: East County,Work,133.0
33,1: Downtown,Work,35.0
33,2: Central,Work,440.0
33,3: North City,Work,848.0
33,4: South Suburban,Work,505.0
33,5: East Suburban,Work,844.0
33,6: North County West,Work,1422.0
33,7: North County East,Work,1857.0
33,8: East County,Work,154.0
34,1: Downtown,Work,26.0
34,2: Central,Work,372.0
34,3: North City,Work,671.0
34,4: South Suburban,Work,400.0
34,5: East Suburban,Work,818.0
34,6: North County West,Work,1153.0
34,7: North County East,Work,1812.0
34,8: East County,Work,168.0
35,1: Downtown,Work,24.0
35,2: Central,Work,326.0
35,3: North City,Work,472.0
35,4: South Suburban,Work,300.0
35,5: East Suburban,Work,742.0
35,6: North County West,Work,1060.0
35,7: North County East,Work,1295.0
35,8: East County,Work,135.0
36,1: Downtown,Work,23.0
36,2: Central,Work,281.0
36,3: North City,Work,406.0
36,4: South Suburban,Work,233.0
36,5: East Suburban,Work,658.0
36,6: North County West,Work,976.0
36,7: North County East,Work,1104.0
36,8: East County,Work,185.0
37,1: Downtown,Work,10.0
37,2: Central,Work,258.0
37,3: North City,Work,346.0
37,4: South Suburban,Work,154.0
37,5: East Suburban,Work,579.0
37,6: North County West,Work,763.0
37,7: North County East,Work,881.0
37,8: East County,Work,184.0
38,1: Downtown,Work,13.0
38,2: Central,Work,227.0
38,3: North City,Work,287.0
38,4: South Suburban,Work,127.0
38,5: East Suburban,Work,556.0
38,6: North County West,Work,687.0
38,7: North County East,Work,828.0
38,8: East County,Work,161.0
39,1: Downtown,Work,11.0
39,2: Central,Work,191.0
39,3: North City,Work,223.0
39,4: South Suburban,Work,123.0
39,5: East Suburban,Work,555.0
39,6: North County West,Work,505.0
39,7: North County East,Work,666.0
39,8: East County,Work,137.0
40,1: Downtown,Work,11.0
40,2: Central,Work,145.0
40,3: North City,Work,166.0
40,4: South Suburban,Work,101.0
40,5: East Suburban,Work,457.0
40,6: North County West,Work,450.0
40,7: North County East,Work,590.0
40,8: East County,Work,106.0
41,1: Downtown,Work,10.0
41,2: Central,Work,117.0
