OwnershipCategory,tour_mode,purpose,freq
0: No Vehicles,01: SOV,1: Work,9029
0: No Vehicles,01: SOV,2: University,2
0: No Vehicles,01: SOV,4: Escort,4160
0: No Vehicles,01: SOV,5: Individual Maintenance,7676
0: No Vehicles,01: SOV,6: Individual Discretionary,601
0: No Vehicles,02: Shared Ride 2,1: Work,13693
0: No Vehicles,02: Shared Ride 2,2: University,1698
0: No Vehicles,02: Shared Ride 2,3: School,5634
0: No Vehicles,02: Shared Ride 2,4: Escort,7197
0: No Vehicles,02: Shared Ride 2,5: Individual Maintenance,5107
0: No Vehicles,02: Shared Ride 2,6: Individual Discretionary,5227
0: No Vehicles,02: Shared Ride 2,9: Work-based,721
0: No Vehicles,03: Shared Ride 3+,1: Work,157
0: No Vehicles,03: Shared Ride 3+,2: University,177
0: No Vehicles,03: Shared Ride 3+,3: School,466
0: No Vehicles,03: Shared Ride 3+,4: Escort,2610
0: No Vehicles,03: Shared Ride 3+,5: Individual Maintenance,1221
0: No Vehicles,03: Shared Ride 3+,6: Individual Discretionary,1103
0: No Vehicles,04: Walk,1: Work,9870
0: No Vehicles,04: Walk,3: School,6265
0: No Vehicles,04: Walk,4: Escort,4984
0: No Vehicles,04: Walk,5: Individual Maintenance,16546
0: No Vehicles,04: Walk,6: Individual Discretionary,9243
0: No Vehicles,04: Walk,9: Work-based,1825
0: No Vehicles,05: Bike,1: Work,734
0: No Vehicles,05: Bike,2: University,296
0: No Vehicles,05: Bike,3: School,264
0: No Vehicles,05: Bike,4: Escort,185
0: No Vehicles,05: Bike,5: Individual Maintenance,1159
0: No Vehicles,05: Bike,6: Individual Discretionary,1151
0: No Vehicles,05: Bike,9: Work-based,454
0: No Vehicles,06: Walk to Transit,1: Work,10629
0: No Vehicles,06: Walk to Transit,2: University,3881
0: No Vehicles,06: Walk to Transit,3: School,1148
0: No Vehicles,06: Walk to Transit,4: Escort,41
0: No Vehicles,06: Walk to Transit,5: Individual Maintenance,6007
0: No Vehicles,06: Walk to Transit,6: Individual Discretionary,4198
0: No Vehicles,06: Walk to Transit,9: Work-based,239
0: No Vehicles,08: KNR to Transit,1: Work,1713
0: No Vehicles,08: KNR to Transit,2: University,366
0: No Vehicles,08: KNR to Transit,4: Escort,2
0: No Vehicles,08: KNR to Transit,5: Individual Maintenance,478
0: No Vehicles,08: KNR to Transit,6: Individual Discretionary,1061
0: No Vehicles,10: Taxi,1: Work,45
0: No Vehicles,10: Taxi,4: Escort,339
0: No Vehicles,10: Taxi,5: Individual Maintenance,827
0: No Vehicles,10: Taxi,6: Individual Discretionary,36
0: No Vehicles,11: TNC Single,1: Work,88
0: No Vehicles,11: TNC Single,4: Escort,285
0: No Vehicles,11: TNC Single,5: Individual Maintenance,636
0: No Vehicles,11: TNC Single,6: Individual Discretionary,26
0: No Vehicles,12: TNC Shared,1: Work,684
0: No Vehicles,12: TNC Shared,4: Escort,1911
0: No Vehicles,12: TNC Shared,5: Individual Maintenance,3613
0: No Vehicles,12: TNC Shared,6: Individual Discretionary,178
0: No Vehicles,13: School Bus,3: School,11781
1: 1+ Veh/Adults > Veh,01: SOV,1: Work,182805
1: 1+ Veh/Adults > Veh,01: SOV,2: University,10406
1: 1+ Veh/Adults > Veh,01: SOV,3: School,2206
