jointCat,HHSIZE,freq
0.0,2,298824
0.0,3,174062
0.0,4,139198
0.0,5,134834
1.0,2,44907
1.0,3,22742
1.0,4,23813
1.0,5,21484
2.0,2,3455
2.0,3,4991
2.0,4,7637
2.0,5,11533
