purpose,avgDist
4: Escort,4.896424353950861
5: Individual Maintenance,4.845022194643907
6: Individual Discretionary,5.152921523366767
7: Joint Maintenance,6.199337913035305
8: Joint Discretionary,5.538420831590321
9: Work-based,3.397019798126087
Total,4.9318683954151386
