stop_period,purpose,freq,stop_skim_period
12.25,8: Joint Discretionary,2416,3: MD
12.25,9: Work-based,4245,3: MD
12.75,1: Work,19658,3: MD
12.75,2: University,3223,3: MD
12.75,3: School,5282,3: MD
12.75,4: Escort,12122,3: MD
12.75,5: Individual Maintenance,37272,3: MD
12.75,6: Individual Discretionary,14862,3: MD
12.75,7: Joint Maintenance,4524,3: MD
12.75,8: Joint Discretionary,2004,3: MD
12.75,9: Work-based,5605,3: MD
13.25,1: Work,21287,3: MD
13.25,2: University,2916,3: MD
13.25,3: School,6663,3: MD
13.25,4: Escort,13471,3: MD
13.25,5: Individual Maintenance,35863,3: MD
13.25,6: Individual Discretionary,15184,3: MD
13.25,7: Joint Maintenance,4262,3: MD
13.25,8: Joint Discretionary,1845,3: MD
13.25,9: Work-based,3686,3: MD
13.75,1: Work,26472,3: MD
13.75,2: University,3084,3: MD
13.75,3: School,8737,3: MD
13.75,4: Escort,24100,3: MD
13.75,5: Individual Maintenance,35332,3: MD
13.75,6: Individual Discretionary,14980,3: MD
13.75,7: Joint Maintenance,4243,3: MD
13.75,8: Joint Discretionary,1988,3: MD
13.75,9: Work-based,2106,3: MD
14.25,1: Work,36620,3: MD
14.25,2: University,3045,3: MD
14.25,3: School,21878,3: MD
14.25,4: Escort,49213,3: MD
14.25,5: Individual Maintenance,34005,3: MD
14.25,6: Individual Discretionary,13385,3: MD
14.25,7: Joint Maintenance,3901,3: MD
14.25,8: Joint Discretionary,1897,3: MD
14.25,9: Work-based,1397,3: MD
14.75,1: Work,39497,3: MD
14.75,2: University,2951,3: MD
14.75,3: School,55422,3: MD
14.75,4: Escort,65868,3: MD
14.75,5: Individual Maintenance,34148,3: MD
14.75,6: Individual Discretionary,14369,3: MD
14.75,7: Joint Maintenance,4065,3: MD
14.75,8: Joint Discretionary,2338,3: MD
14.75,9: Work-based,1033,3: MD
15.25,1: Work,54870,3: MD
15.25,2: University,3061,3: MD
15.25,3: School,55049,3: MD
15.25,4: Escort,61239,3: MD
15.25,5: Individual Maintenance,31827,3: MD
15.25,6: Individual Discretionary,13203,3: MD
15.25,7: Joint Maintenance,3882,3: MD
15.25,8: Joint Discretionary,2420,3: MD
15.25,9: Work-based,751,3: MD
15.75,1: Work,53674,4: PM
15.75,2: University,2780,4: PM
15.75,3: School,36463,4: PM
15.75,4: Escort,34180,4: PM
15.75,5: Individual Maintenance,28281,4: PM
15.75,6: Individual Discretionary,12496,4: PM
15.75,7: Joint Maintenance,3586,4: PM
15.75,8: Joint Discretionary,1541,4: PM
15.75,9: Work-based,519,4: PM
16.25,1: Work,65862,4: PM
16.25,2: University,2783,4: PM
16.25,3: School,21172,4: PM
16.25,4: Escort,31579,4: PM
16.25,5: Individual Maintenance,30023,4: PM
16.25,6: Individual Discretionary,14230,4: PM
16.25,7: Joint Maintenance,4157,4: PM
16.25,8: Joint Discretionary,1890,4: PM
16.25,9: Work-based,461,4: PM
16.75,1: Work,85482,4: PM
16.75,2: University,3567,4: PM
16.75,3: School,18458,4: PM
16.75,4: Escort,19838,4: PM
16.75,5: Individual Maintenance,25778,4: PM
16.75,6: Individual Discretionary,16445,4: PM
16.75,7: Joint Maintenance,3689,4: PM
16.75,8: Joint Discretionary,2300,4: PM
16.75,9: Work-based,430,4: PM
17.25,1: Work,98708,4: PM
17.25,2: University,3013,4: PM
17.25,3: School,17637,4: PM
17.25,4: Escort,16009,4: PM
17.25,5: Individual Maintenance,24570,4: PM
17.25,6: Individual Discretionary,20766,4: PM
17.25,7: Joint Maintenance,3915,4: PM
17.25,8: Joint Discretionary,3285,4: PM
17.25,9: Work-based,259,4: PM
17.75,1: Work,87229,4: PM
17.75,2: University,2666,4: PM
17.75,3: School,14238,4: PM
17.75,4: Escort,14502,4: PM
17.75,5: Individual Maintenance,22669,4: PM
17.75,6: Individual Discretionary,21797,4: PM
17.75,7: Joint Maintenance,3968,4: PM
17.75,8: Joint Discretionary,3690,4: PM
17.75,9: Work-based,198,4: PM
18.25,1: Work,61941,4: PM
18.25,2: University,2755,4: PM
18.25,3: School,7181,4: PM
18.25,4: Escort,14156,4: PM
18.25,5: Individual Maintenance,22776,4: PM
18.25,6: Individual Discretionary,27821,4: PM
18.25,7: Joint Maintenance,4023,4: PM
18.25,8: Joint Discretionary,4954,4: PM
18.25,9: Work-based,215,4: PM
18.75,1: Work,39549,4: PM
18.75,2: University,2443,4: PM
18.75,3: School,3942,4: PM
18.75,4: Escort,12159,4: PM
18.75,5: Individual Maintenance,21742,4: PM
18.75,6: Individual Discretionary,29092,4: PM
18.75,7: Joint Maintenance,4107,4: PM
18.75,8: Joint Discretionary,5761,4: PM
18.75,9: Work-based,198,4: PM
19.25,1: Work,36425,5: EV
19.25,2: University,1899,5: EV
19.25,3: School,2512,5: EV
19.25,4: Escort,11121,5: EV
19.25,5: Individual Maintenance,20025,5: EV
19.25,6: Individual Discretionary,24941,5: EV
19.25,7: Joint Maintenance,4001,5: EV
19.25,8: Joint Discretionary,5077,5: EV
19.25,9: Work-based,193,5: EV
19.75,1: Work,24564,5: EV
19.75,2: University,1968,5: EV
19.75,3: School,1486,5: EV
19.75,4: Escort,10665,5: EV
19.75,5: Individual Maintenance,19633,5: EV
19.75,6: Individual Discretionary,20649,5: EV
19.75,7: Joint Maintenance,4194,5: EV
19.75,8: Joint Discretionary,3889,5: EV
19.75,9: Work-based,176,5: EV
20.25,1: Work,18518,5: EV
20.25,2: University,1962,5: EV
20.25,3: School,805,5: EV
20.25,4: Escort,9141,5: EV
20.25,5: Individual Maintenance,16957,5: EV
20.25,6: Individual Discretionary,18166,5: EV
20.25,7: Joint Maintenance,3434,5: EV
20.25,8: Joint Discretionary,3281,5: EV
20.25,9: Work-based,154,5: EV
20.75,1: Work,14424,5: EV
20.75,2: University,1741,5: EV
20.75,3: School,483,5: EV
20.75,4: Escort,7783,5: EV
20.75,5: Individual Maintenance,13057,5: EV
20.75,6: Individual Discretionary,18937,5: EV
20.75,7: Joint Maintenance,2690,5: EV
20.75,8: Joint Discretionary,3383,5: EV
20.75,9: Work-based,156,5: EV
21.25,1: Work,11968,5: EV
21.25,2: University,1503,5: EV
21.25,3: School,290,5: EV
21.25,4: Escort,6738,5: EV
21.25,5: Individual Maintenance,9189,5: EV
21.25,6: Individual Discretionary,19286,5: EV
21.25,7: Joint Maintenance,1891,5: EV
21.25,8: Joint Discretionary,3020,5: EV
21.25,9: Work-based,165,5: EV
21.75,1: Work,10435,5: EV
21.75,2: University,1365,5: EV
21.75,3: School,308,5: EV
21.75,4: Escort,5825,5: EV
21.75,5: Individual Maintenance,6690,5: EV
21.75,6: Individual Discretionary,8176,5: EV
21.75,7: Joint Maintenance,1278,5: EV
21.75,8: Joint Discretionary,1213,5: EV
21.75,9: Work-based,151,5: EV
22.25,1: Work,9045,5: EV
22.25,2: University,1189,5: EV
22.25,3: School,208,5: EV
22.25,4: Escort,4849,5: EV
22.25,5: Individual Maintenance,4923,5: EV
22.25,6: Individual Discretionary,6949,5: EV
22.25,7: Joint Maintenance,919,5: EV
22.25,8: Joint Discretionary,880,5: EV
22.25,9: Work-based,144,5: EV
22.75,1: Work,8601,5: EV
22.75,2: University,826,5: EV
22.75,3: School,231,5: EV
22.75,4: Escort,4223,5: EV
22.75,5: Individual Maintenance,3744,5: EV
22.75,6: Individual Discretionary,4881,5: EV
22.75,7: Joint Maintenance,638,5: EV
22.75,8: Joint Discretionary,565,5: EV
22.75,9: Work-based,114,5: EV
23.25,1: Work,8262,5: EV
23.25,2: University,648,5: EV
23.25,3: School,302,5: EV
23.25,4: Escort,3442,5: EV
23.25,5: Individual Maintenance,2777,5: EV
23.25,6: Individual Discretionary,3882,5: EV
23.25,7: Joint Maintenance,437,5: EV
23.25,8: Joint Discretionary,344,5: EV
23.25,9: Work-based,95,5: EV
23.75,1: Work,9022,5: EV
23.75,2: University,463,5: EV
23.75,3: School,283,5: EV
