PERTYPE,itours,jtours,active_persons,tours,tour_rate
1: Full-Time Worker,1416209,73904,1012889,1490113,1.4711513305011703
2: Part-Time Worker,531867,38403,305311,570270,1.867833127532254
3: University Student,255726,16542,155111,272268,1.75531071297329
4: Non-Worker,649774,92429,343384,742203,2.161437341285558
5: Retiree,369528,75161,262894,444689,1.691514450691153
6: Driving Aged Student,108806,3704,85581,112510,1.314660964466412
7: Non-Driving Aged Student,573448,48060,472363,621508,1.3157423422240946
8: Child To Young for School,202865,64882,167926,267747,1.5944344532710837
Total,4108223,1345424,2805459,5453647,1.9439410805861002
