tourdur,purpose,freq
11.0,4: Escort,42
11.0,5: Individual Maintenance,850
11.0,6: Individual Discretionary,1207
11.0,7: Joint Maintenance,71
11.0,8: Joint Discretionary,63
11.0,9: Work-based,6
11.5,1: Work,65368
11.5,2: University,1289
11.5,3: School,5752
11.5,4: Escort,26
11.5,5: Individual Maintenance,677
11.5,6: Individual Discretionary,1144
11.5,7: Joint Maintenance,60
11.5,8: Joint Discretionary,57
12.0,1: Work,41438
12.0,2: University,1052
12.0,3: School,4137
12.0,4: Escort,18
12.0,5: Individual Maintenance,514
12.0,6: Individual Discretionary,1021
12.0,7: Joint Maintenance,52
12.0,8: Joint Discretionary,64
12.5,1: Work,31423
12.5,2: University,993
12.5,3: School,2911
12.5,4: Escort,13
12.5,5: Individual Maintenance,447
12.5,6: Individual Discretionary,906
12.5,7: Joint Maintenance,37
12.5,8: Joint Discretionary,42
13.0,1: Work,22710
13.0,2: University,891
13.0,3: School,2022
13.0,4: Escort,8
13.0,5: Individual Maintenance,300
13.0,6: Individual Discretionary,696
13.0,7: Joint Maintenance,46
13.0,8: Joint Discretionary,30
13.5,1: Work,14459
13.5,2: University,724
13.5,3: School,1251
13.5,4: Escort,6
13.5,5: Individual Maintenance,253
13.5,6: Individual Discretionary,615
13.5,7: Joint Maintenance,15
13.5,8: Joint Discretionary,24
14.0,1: Work,8981
14.0,2: University,622
14.0,3: School,745
14.0,4: Escort,3
14.0,5: Individual Maintenance,173
14.0,6: Individual Discretionary,475
14.0,7: Joint Maintenance,23
14.0,8: Joint Discretionary,15
14.5,1: Work,5185
14.5,2: University,497
14.5,3: School,541
14.5,4: Escort,3
14.5,5: Individual Maintenance,168
14.5,6: Individual Discretionary,369
14.5,7: Joint Maintenance,16
14.5,8: Joint Discretionary,11
15.0,1: Work,2919
15.0,2: University,404
15.0,3: School,389
15.0,4: Escort,1
15.0,5: Individual Maintenance,102
15.0,6: Individual Discretionary,253
15.0,7: Joint Maintenance,6
15.0,8: Joint Discretionary,10
15.5,1: Work,1488
15.5,2: University,313
15.5,3: School,315
15.5,4: Escort,1
15.5,5: Individual Maintenance,69
15.5,6: Individual Discretionary,158
15.5,7: Joint Maintenance,10
15.5,8: Joint Discretionary,4
16.0,1: Work,728
16.0,2: University,179
16.0,3: School,244
16.0,5: Individual Maintenance,47
16.0,6: Individual Discretionary,125
16.0,7: Joint Maintenance,3
16.0,8: Joint Discretionary,3
16.5,1: Work,300
16.5,2: University,140
16.5,3: School,252
