tour_composition,NUMBER_HH,freq
All Adult,2,79129
All Adult,3,12548
All Adult,4,2596
All Adult,5,1015
All Children,2,2402
All Children,3,1777
All Children,4,726
All Children,5,678
Mixed,2,31742
Mixed,3,24223
Mixed,4,8836
Mixed,5,2506
