purpose,freq_dep,freq_arr,skim_period,period
3: School,75.0,377.0,5: EV,22.75
3: School,47.0,440.0,5: EV,23.25
3: School,996.0,12083.0,3: MD,12.75
3: School,685.0,7323.0,4: PM,18.75
3: School,1370.0,8819.0,3: MD,12.25
3: School,5349.0,42.0,1: EA,5.75
3: School,1870.0,3796.0,3: MD,11.25
3: School,41.91074462417519,131.61985972267044,1: EA,0.75
3: School,81.5512736499989,81.76180420950716,1: EA,1.25
3: School,166.24619382184235,39.84076864977003,1: EA,1.75
3: School,304.75523957357774,16.7371948458486,1: EA,2.25
3: School,454.894685898308,7.019944834661635,1: EA,2.75
3: School,546.9655716040025,3.4637510041792843,1: EA,3.25
3: School,576.413163444865,2.3027330085719155,1: EA,3.75
3: School,621.7770318541066,2.2093561406162503,1: EA,4.25
3: School,814.2714729766964,2.9990666444192917,1: EA,4.75
3: School,4312.0,20.0,1: EA,5.25
3: School,26.21462255242746,162.0455209397554,1: EA,0.25
3: School,3994.0,28.0,2: AM,6.25
3: School,2163.0,2161.0,3: MD,10.75
3: School,2994.0,958.0,3: MD,10.25
3: School,4636.0,398.0,3: MD,9.75
3: School,8480.0,400.0,3: MD,9.25
3: School,1680.0,6010.0,3: MD,11.75
3: School,99653.0,339.0,2: AM,8.25
3: School,182253.0,336.0,2: AM,7.75
3: School,152887.0,212.0,2: AM,7.25
3: School,46125.0,95.0,2: AM,6.75
3: School,52827.0,418.0,2: AM,8.75
4: Escort,15958.0,14544.0,3: MD,13.25
4: Escort,53155.0,14551.0,3: MD,13.75
4: Escort,86979.0,50053.0,3: MD,14.25
4: Escort,76207.0,90710.0,3: MD,14.75
4: Escort,66490.0,97333.0,3: MD,15.25
4: Escort,42657.0,53391.0,4: PM,15.75
4: Escort,35457.0,46663.0,4: PM,16.25
4: Escort,22636.0,29974.0,4: PM,16.75
4: Escort,20881.0,24759.0,4: PM,17.25
4: Escort,17830.0,21684.0,4: PM,17.75
4: Escort,12575.0,14763.0,5: EV,19.25
4: Escort,14423.0,16558.0,4: PM,18.75
4: Escort,10914.0,13066.0,5: EV,19.75
4: Escort,9025.0,11476.0,5: EV,20.25
4: Escort,3356.0,4157.0,5: EV,23.75
4: Escort,6610.0,8395.0,5: EV,21.25
4: Escort,5710.0,7150.0,5: EV,21.75
4: Escort,4955.0,6292.0,5: EV,22.25
4: Escort,3983.0,5380.0,5: EV,22.75
4: Escort,3632.0,4493.0,5: EV,23.25
4: Escort,14311.0,13295.0,3: MD,12.75
4: Escort,16037.0,18384.0,4: PM,18.25
4: Escort,7876.0,9574.0,5: EV,20.75
4: Escort,13250.0,11792.0,3: MD,12.25
4: Escort,11270.0,10879.0,3: MD,11.25
4: Escort,11913.0,11283.0,3: MD,11.75
4: Escort,1002.3611027875153,1989.2323390004562,1: EA,0.25
4: Escort,567.8906858331275,1538.803833094034,1: EA,0.75
4: Escort,274.3634852437877,1013.1261843619178,1: EA,1.25
4: Escort,122.82364379607736,570.563319468581,1: EA,1.75
4: Escort,58.33100805943013,293.42773774794483,1: EA,2.25
4: Escort,29.53073663169382,98.9429994883044,1: EA,3.25
4: Escort,39.68712516601546,87.17483992098134,1: EA,3.75
4: Escort,83.40972792542269,116.00649008267445,1: EA,4.25
4: Escort,248.05738023694062,232.19776213293866,1: EA,4.75
4: Escort,2479.0,1382.0,1: EA,5.25
4: Escort,34.54510431998926,155.52449470216658,1: EA,2.75
4: Escort,11585.0,9942.0,2: AM,6.25
4: Escort,6375.0,3450.0,1: EA,5.75
4: Escort,10311.0,10564.0,3: MD,10.25
4: Escort,10100.0,13436.0,3: MD,9.75
4: Escort,10164.0,24129.0,3: MD,9.25
4: Escort,42299.0,72514.0,2: AM,8.75
4: Escort,10983.0,10405.0,3: MD,10.75
4: Escort,135594.0,87894.0,2: AM,7.75
4: Escort,69415.0,46478.0,2: AM,7.25
4: Escort,23175.0,19455.0,2: AM,6.75
4: Escort,92254.0,98942.0,2: AM,8.25
5: Individual Maintenance,22252.0,22223.0,4: PM,17.75
5: Individual Maintenance,27545.0,33213.0,3: MD,13.25
5: Individual Maintenance,25912.0,37187.0,3: MD,13.75
5: Individual Maintenance,24896.0,33188.0,3: MD,14.25
5: Individual Maintenance,24465.0,31976.0,3: MD,14.75
5: Individual Maintenance,24623.0,32280.0,3: MD,15.25
5: Individual Maintenance,25298.0,28295.0,4: PM,15.75
5: Individual Maintenance,23499.0,31752.0,4: PM,16.25
5: Individual Maintenance,22230.0,28700.0,4: PM,16.75
5: Individual Maintenance,21571.0,25715.0,4: PM,17.25
5: Individual Maintenance,22408.0,24382.0,4: PM,18.25
5: Individual Maintenance,27821.0,34974.0,3: MD,12.75
5: Individual Maintenance,17747.0,22472.0,5: EV,19.25
5: Individual Maintenance,13337.0,22813.0,5: EV,19.75
5: Individual Maintenance,9283.0,23709.0,5: EV,20.25
5: Individual Maintenance,6176.0,16937.0,5: EV,20.75
5: Individual Maintenance,4245.0,12323.0,5: EV,21.25
5: Individual Maintenance,2792.0,9087.0,5: EV,21.75
5: Individual Maintenance,1802.0,6364.0,5: EV,22.25
5: Individual Maintenance,1243.0,4659.0,5: EV,22.75
5: Individual Maintenance,745.0,3485.0,5: EV,23.25
5: Individual Maintenance,363.0,2549.0,5: EV,23.75
5: Individual Maintenance,24343.0,20774.0,4: PM,18.75
5: Individual Maintenance,28170.0,40674.0,3: MD,12.25
5: Individual Maintenance,29445.0,40643.0,3: MD,11.75
5: Individual Maintenance,42898.0,36327.0,3: MD,11.25
5: Individual Maintenance,112.97505097936664,827.4937516847892,1: EA,0.25
5: Individual Maintenance,52.13136835714676,548.7516136943526,1: EA,0.75
5: Individual Maintenance,25.78350258091056,311.98424874117114,1: EA,1.25
5: Individual Maintenance,15.498859695581672,154.49260542633164,1: EA,1.75
5: Individual Maintenance,12.598020902961208,72.0749731649191,1: EA,2.25
5: Individual Maintenance,14.542093189053261,36.010476724593616,1: EA,2.75
5: Individual Maintenance,47.15504012146494,18.9952241889857,1: EA,3.75
5: Individual Maintenance,106.25930031127795,23.24951855144765,1: EA,4.25
5: Individual Maintenance,235.77365702599724,38.70111027500727,1: EA,4.75
5: Individual Maintenance,810.0,190.0,1: EA,5.25
5: Individual Maintenance,23.28310683623981,22.24647754840205,1: EA,3.25
5: Individual Maintenance,2037.0,680.0,2: AM,6.25
5: Individual Maintenance,1293.0,358.0,1: EA,5.75
5: Individual Maintenance,52700.0,23632.0,3: MD,10.25
5: Individual Maintenance,46415.0,8443.0,3: MD,9.75
5: Individual Maintenance,25240.0,5081.0,3: MD,9.25
5: Individual Maintenance,19809.0,3873.0,2: AM,8.75
5: Individual Maintenance,53016.0,29632.0,3: MD,10.75
5: Individual Maintenance,8577.0,2287.0,2: AM,7.75
5: Individual Maintenance,4950.0,1843.0,2: AM,7.25
5: Individual Maintenance,3130.0,1297.0,2: AM,6.75
5: Individual Maintenance,15255.0,2916.0,2: AM,8.25
6: Individual Discretionary,31939.0,18342.0,4: PM,17.75
6: Individual Discretionary,10553.0,15106.0,3: MD,13.25
6: Individual Discretionary,10487.0,15134.0,3: MD,13.75
6: Individual Discretionary,10213.0,13347.0,3: MD,14.25
6: Individual Discretionary,10602.0,12581.0,3: MD,14.75
6: Individual Discretionary,12838.0,12095.0,3: MD,15.25
6: Individual Discretionary,15819.0,9069.0,4: PM,15.75
6: Individual Discretionary,18861.0,9526.0,4: PM,16.25
6: Individual Discretionary,21084.0,13740.0,4: PM,16.75
6: Individual Discretionary,25016.0,15729.0,4: PM,17.25
6: Individual Discretionary,38046.0,20654.0,4: PM,18.25
6: Individual Discretionary,515.0,3841.0,5: EV,23.75
6: Individual Discretionary,23146.0,27014.0,5: EV,19.25
6: Individual Discretionary,8987.0,28804.0,5: EV,19.75
6: Individual Discretionary,6711.0,31380.0,5: EV,20.25
6: Individual Discretionary,5143.0,31886.0,5: EV,20.75
6: Individual Discretionary,3598.0,35021.0,5: EV,21.25
6: Individual Discretionary,2673.0,14587.0,5: EV,21.75
6: Individual Discretionary,2098.0,12628.0,5: EV,22.25
6: Individual Discretionary,1511.0,8380.0,5: EV,22.75
6: Individual Discretionary,903.0,7337.0,5: EV,23.25
6: Individual Discretionary,10371.0,15252.0,3: MD,12.75
6: Individual Discretionary,40822.0,23321.0,4: PM,18.75
6: Individual Discretionary,14770.0,14521.0,3: MD,12.25
6: Individual Discretionary,17097.0,13562.0,3: MD,11.75
6: Individual Discretionary,17014.0,14356.0,3: MD,11.25
6: Individual Discretionary,88.4023883865936,964.8443901687308,1: EA,0.75
6: Individual Discretionary,55.86730025235317,568.3133039973088,1: EA,1.25
6: Individual Discretionary,45.487239174883165,314.349140021298,1: EA,1.75
6: Individual Discretionary,50.222594366930316,171.44792481574166,1: EA,2.25
6: Individual Discretionary,73.75234464714786,99.77932433201593,1: EA,2.75
6: Individual Discretionary,132.9635089255345,67.89879603916734,1: EA,3.25
6: Individual Discretionary,263.4730332140568,58.392092942429656,1: EA,3.75
6: Individual Discretionary,516.2934269870332,65.92266185642251,1: EA,4.25
6: Individual Discretionary,929.9737475797888,96.15842951121164,1: EA,4.75
6: Individual Discretionary,2813.0,259.0,1: EA,5.25
6: Individual Discretionary,162.56441646567896,1517.8939363156733,1: EA,0.25
6: Individual Discretionary,4587.0,1397.0,2: AM,6.25
6: Individual Discretionary,6183.0,2501.0,2: AM,6.75
6: Individual Discretionary,8565.0,3397.0,2: AM,7.25
6: Individual Discretionary,14660.0,3816.0,2: AM,7.75
6: Individual Discretionary,15335.0,4575.0,2: AM,8.25
6: Individual Discretionary,16962.0,5781.0,2: AM,8.75
6: Individual Discretionary,18850.0,7465.0,3: MD,9.25
6: Individual Discretionary,20357.0,10502.0,3: MD,9.75
6: Individual Discretionary,14353.0,10977.0,3: MD,10.25
6: Individual Discretionary,14385.0,11420.0,3: MD,10.75
6: Individual Discretionary,3692.0,650.0,1: EA,5.75
7: Joint Maintenance,3325.0,3631.0,4: PM,16.75
7: Joint Maintenance,3516.0,3710.0,4: PM,16.25
7: Joint Maintenance,3394.0,3053.0,4: PM,15.75
7: Joint Maintenance,2720.0,3474.0,3: MD,13.25
7: Joint Maintenance,2583.0,3330.0,3: MD,14.75
7: Joint Maintenance,2472.0,3342.0,3: MD,14.25
7: Joint Maintenance,2559.0,3774.0,3: MD,13.75
7: Joint Maintenance,3647.0,3477.0,4: PM,17.25
7: Joint Maintenance,2932.0,3339.0,3: MD,15.25
7: Joint Maintenance,4003.0,3207.0,4: PM,17.75
7: Joint Maintenance,646.0,2391.0,5: EV,21.25
7: Joint Maintenance,3587.0,3907.0,5: EV,19.25
7: Joint Maintenance,2468.0,4506.0,5: EV,19.75
7: Joint Maintenance,1591.0,4569.0,5: EV,20.25
7: Joint Maintenance,1048.0,3271.0,5: EV,20.75
7: Joint Maintenance,424.0,1622.0,5: EV,21.75
7: Joint Maintenance,283.0,1112.0,5: EV,22.25
7: Joint Maintenance,152.0,787.0,5: EV,22.75
7: Joint Maintenance,101.0,505.0,5: EV,23.25
7: Joint Maintenance,37.0,381.0,5: EV,23.75
7: Joint Maintenance,2835.0,3738.0,3: MD,12.75
7: Joint Maintenance,4884.0,3502.0,4: PM,18.75
7: Joint Maintenance,2922.0,4615.0,3: MD,12.25
7: Joint Maintenance,4491.0,3634.0,4: PM,18.25
7: Joint Maintenance,4605.0,3722.0,3: MD,11.25
7: Joint Maintenance,3146.0,4472.0,3: MD,11.75
7: Joint Maintenance,7.284582368730153,78.89498839409622,1: EA,0.75
7: Joint Maintenance,4.71298140888705,42.950373947406845,1: EA,1.25
7: Joint Maintenance,3.899007341841826,21.144888201389143,1: EA,1.75
7: Joint Maintenance,4.359676838312241,10.314700684632069,1: EA,2.25
7: Joint Maintenance,6.538089982884635,5.717329330066866,1: EA,2.75
7: Joint Maintenance,12.229692299133486,4.154047330310513,1: EA,3.25
7: Joint Maintenance,25.404909253478323,4.359759570743926,1: EA,3.75
7: Joint Maintenance,51.73859875297531,6.658204056564021,1: EA,4.25
7: Joint Maintenance,93.70111299272705,13.50282352389283,1: EA,4.75
