distbin,purpose,freq
1,4: Escort,193298
1,5: Individual Maintenance,122190
1,6: Individual Discretionary,119333
1,7: Joint Maintenance,12044
1,8: Joint Discretionary,15837
1,9: Work-based,47017
2,4: Escort,201002
2,5: Individual Maintenance,153927
2,6: Individual Discretionary,97727
2,7: Joint Maintenance,10564
2,8: Joint Discretionary,12897
2,9: Work-based,18910
3,4: Escort,123448
3,5: Individual Maintenance,113405
3,6: Individual Discretionary,58915
3,7: Joint Maintenance,13144
3,8: Joint Discretionary,10006
3,9: Work-based,12026
4,4: Escort,93465
4,5: Individual Maintenance,68168
4,6: Individual Discretionary,40292
4,7: Joint Maintenance,10327
4,8: Joint Discretionary,6631
4,9: Work-based,7178
5,4: Escort,65438
5,5: Individual Maintenance,54637
5,6: Individual Discretionary,35740
5,7: Joint Maintenance,8704
5,8: Joint Discretionary,6005
5,9: Work-based,5625
6,4: Escort,49840
6,5: Individual Maintenance,39023
6,6: Individual Discretionary,21868
6,7: Joint Maintenance,6351
6,8: Joint Discretionary,3734
6,9: Work-based,2632
7,4: Escort,38165
7,5: Individual Maintenance,27990
7,6: Individual Discretionary,19175
7,7: Joint Maintenance,4756
7,8: Joint Discretionary,3279
7,9: Work-based,2737
8,4: Escort,30922
8,5: Individual Maintenance,20893
8,6: Individual Discretionary,16546
8,7: Joint Maintenance,3768
8,8: Joint Discretionary,2923
8,9: Work-based,3073
9,4: Escort,27563
9,5: Individual Maintenance,16924
9,6: Individual Discretionary,14375
9,7: Joint Maintenance,3169
9,8: Joint Discretionary,2554
9,9: Work-based,1112
10,4: Escort,25244
10,5: Individual Maintenance,15968
10,6: Individual Discretionary,12744
10,7: Joint Maintenance,2846
10,8: Joint Discretionary,2390
10,9: Work-based,1286
11,4: Escort,23749
11,5: Individual Maintenance,12875
11,6: Individual Discretionary,10592
11,7: Joint Maintenance,2429
11,8: Joint Discretionary,1987
11,9: Work-based,1331
12,4: Escort,22432
12,5: Individual Maintenance,10646
12,6: Individual Discretionary,8742
12,7: Joint Maintenance,2106
12,8: Joint Discretionary,1550
12,9: Work-based,1538
13,4: Escort,21497
13,5: Individual Maintenance,8792
13,6: Individual Discretionary,7145
13,7: Joint Maintenance,1715
13,8: Joint Discretionary,1250
13,9: Work-based,1753
14,4: Escort,20842
14,5: Individual Maintenance,6655
14,6: Individual Discretionary,5645
14,7: Joint Maintenance,1359
14,8: Joint Discretionary,1030
14,9: Work-based,1777
15,4: Escort,18955
15,5: Individual Maintenance,5186
15,6: Individual Discretionary,4467
15,7: Joint Maintenance,1011
15,8: Joint Discretionary,750
15,9: Work-based,1756
16,4: Escort,16344
16,5: Individual Maintenance,4053
16,6: Individual Discretionary,3411
16,7: Joint Maintenance,840
16,8: Joint Discretionary,577
16,9: Work-based,1550
17,4: Escort,13691
17,5: Individual Maintenance,3020
17,6: Individual Discretionary,2552
17,7: Joint Maintenance,648
17,8: Joint Discretionary,457
17,9: Work-based,1191
18,4: Escort,11259
18,5: Individual Maintenance,2132
18,6: Individual Discretionary,2024
18,7: Joint Maintenance,452
